,NE,NA,BGAP,EPA,FEPA,EFMR,TM,MSITE,V,VPA,D,BM,SM,YM,PR,PUGR,IPUGR,DT,vs,vl,vm
NE,1.0,0.05237576481834964,-0.007446733152704604,0.03603501650001705,-0.06711883010553253,0.010129725983484668,-0.020969244661925495,-0.003058354536931072,0.028637975315631305,-0.3219102579430659,-0.043793950405708944,0.03585646088485043,0.02487336174838338,0.027845871233176927,-0.009219247669053911,0.007262518419230496,0.006470303942499244,0.08735501534143239,0.008342284754219309,0.011963856318134979,0.008780267881770446
NA,0.05237576481834964,1.0,0.3262612606638479,0.16151122460726464,-0.25160484164048763,-0.1910221829373327,0.10174757613474351,0.09328712410752887,0.8423429322059938,-0.09812688299748211,-0.1874025756006198,-0.041897225644446326,0.00462815490496197,-0.0008090019879867706,-0.0966106295770929,0.09488438365085167,-0.02895563801876019,0.13714135172010378,0.19072921921557526,0.18147364671515304,0.1906781006770135
BGAP,-0.007446733152704604,0.3262612606638479,1.0,0.2218157495140376,-0.6390992658979615,-0.6539156935951214,-0.061189048036844614,-0.11210787274236986,0.253048721779884,0.023440511758138598,-0.2092314467428765,-0.1369947762082476,-0.08715704369253416,-0.09691275211282836,-0.057815233387785665,0.058050798064616445,-0.02113680187896548,0.03674596965109515,0.043226787160955585,0.019979460525243204,0.04190756829607731
EPA,0.03603501650001705,0.16151122460726464,0.2218157495140376,1.0,-0.14384488219378608,-0.2987523052170354,0.009534864708745327,0.02555711260653919,0.14570066939065235,0.01868785459934944,-0.17338299423460918,-0.08185100763033741,-0.04585195527767961,-0.050969302883399036,-0.07166336630755131,0.06871967848405133,-0.031979747136595876,0.03401970245446838,0.15248915964389156,0.14057139260231288,0.15215167027752644
FEPA,-0.06711883010553253,-0.25160484164048763,-0.6390992658979615,-0.14384488219378608,1.0,0.4039231881836531,-0.009830081558590054,0.06757684529032172,-0.1834488115582403,0.030216513481547972,0.11329401274657304,0.09212362774843541,0.0961994299881109,0.09479179991368834,0.01405769926309898,-0.008484888662074112,0.02265932546131234,0.015340646516719056,-0.031194137467755578,-0.03474765236951049,-0.032339250241366316
EFMR,0.010129725983484668,-0.1910221829373327,-0.6539156935951214,-0.2987523052170354,0.4039231881836531,1.0,0.04973540580039924,0.11646080340133526,-0.2787673712518057,-0.11143751560276069,0.19527489836503584,0.20368883622960898,0.192058889144672,0.19561920879893543,-0.011269904123033374,0.01323491482540277,0.016494437057830175,0.0905033427732059,0.32274906913517615,0.3685373762229157,0.32623119789805893
TM,-0.020969244661925495,0.10174757613474351,-0.061189048036844614,0.009534864708745327,-0.009830081558590054,0.04973540580039924,1.0,0.7295659940082732,0.096143560082164,0.01255227667993442,0.0067666722951541195,-0.0016641845856938003,-0.0038171665820650414,-0.002984532979591018,-0.0010757092423049092,-0.00032858767514763005,-0.006404761481720908,-0.00790275041411745,0.0051562820508744105,0.012224899415946254,0.005785085366996695
MSITE,-0.003058354536931072,0.09328712410752887,-0.11210787274236986,0.02555711260653919,0.06757684529032172,0.11646080340133526,0.7295659940082732,1.0,0.06235983740423721,-0.013083251724845396,0.01586521051178901,0.026709287223746107,0.02092848550477245,0.022910868202164602,-0.0015083679144293342,0.0007995288936985387,-0.006541203372459872,0.009513892378097345,0.0368722071377299,0.056455823056579604,0.03832714274747638
V,0.028637975315631305,0.8423429322059938,0.253048721779884,0.14570066939065235,-0.1834488115582403,-0.2787673712518057,0.096143560082164,0.06235983740423721,1.0,0.018693599249159143,-0.19081368422199585,-0.10694023906955792,-0.06760749777110507,-0.07256969787826073,-0.07082612878990723,0.06637506684131701,-0.027346886547425748,0.0288187395348516,-0.10026457186145167,-0.1361766860369395,-0.10237192808580556
VPA,-0.3219102579430659,-0.09812688299748211,0.023440511758138598,0.01868785459934944,0.030216513481547972,-0.11143751560276069,0.01255227667993442,-0.013083251724845396,0.018693599249159143,1.0,-0.16539508964954552,-0.5544755071757661,-0.49628745735601015,-0.5127504409866075,0.02973479304759856,-0.03182855774122872,-0.014495571246502656,-0.5586986569373105,-0.1819136012685885,-0.19812318647504248,-0.18316323352118466
D,-0.043793950405708944,-0.1874025756006198,-0.2092314467428765,-0.17338299423460918,0.11329401274657304,0.19527489836503584,0.0067666722951541195,0.01586521051178901,-0.19081368422199585,-0.16539508964954552,1.0,0.5576250365125782,0.3152371136630691,0.35593546946346255,0.36734230245633315,-0.36396879801867105,0.0863510886926875,-0.16786195782184532,-0.06048077641177429,-0.03815628788555849,-0.05912645722858193
BM,0.03585646088485043,-0.041897225644446326,-0.1369947762082476,-0.08185100763033741,0.09212362774843541,0.20368883622960898,-0.0016641845856938003,0.026709287223746107,-0.10694023906955792,-0.5544755071757661,0.5576250365125782,1.0,0.8739079399178818,0.906669472751838,0.04963191794427374,-0.04934716806717431,0.017859245059774025,0.6020018843953638,0.17956262044027652,0.19756888843686535,0.18068503472442032
SM,0.02487336174838338,0.00462815490496197,-0.08715704369253416,-0.04585195527767961,0.0961994299881109,0.192058889144672,-0.0038171665820650414,0.02092848550477245,-0.06760749777110507,-0.49628745735601015,0.3152371136630691,0.8739079399178818,1.0,0.9965868772133134,-0.33158896810095057,0.3315064124373443,-0.10223608279125868,0.8032750402295155,0.2896300221530911,0.2817066863082172,0.288814584609348
YM,0.027845871233176927,-0.0008090019879867706,-0.09691275211282836,-0.050969302883399036,0.09479179991368834,0.19561920879893543,-0.002984532979591018,0.022910868202164602,-0.07256969787826073,-0.5127504409866075,0.35593546946346255,0.906669472751838,0.9965868772133134,1.0,-0.28918817812919867,0.28701253147639383,-0.09599429447554521,0.7831888427937176,0.27258303007340234,0.26901341553230856,0.2721513887660474
PR,-0.009219247669053911,-0.0966106295770929,-0.057815233387785665,-0.07166336630755131,0.01405769926309898,-0.011269904123033374,-0.0010757092423049092,-0.0015083679144293342,-0.07082612878990723,0.02973479304759856,0.36734230245633315,0.04963191794427374,-0.33158896810095057,-0.28918817812919867,1.0,-0.9944680517182521,0.3137531498985302,-0.4543601609527271,-0.18496359152677871,-0.14037740119361838,-0.1823145302432299
PUGR,0.007262518419230496,0.09488438365085167,0.058050798064616445,0.06871967848405133,-0.008484888662074112,0.01323491482540277,-0.00032858767514763005,0.0007995288936985387,0.06637506684131701,-0.03182855774122872,-0.36396879801867105,-0.04934716806717431,0.3315064124373443,0.28701253147639383,-0.9944680517182521,1.0,-0.29352934703623845,0.45717463548130743,0.19007026628179913,0.14509749471415156,0.18728327277507117
IPUGR,0.006470303942499244,-0.02895563801876019,-0.02113680187896548,-0.031979747136595876,0.02265932546131234,0.016494437057830175,-0.006404761481720908,-0.006541203372459872,-0.027346886547425748,-0.014495571246502656,0.0863510886926875,0.017859245059774025,-0.10223608279125868,-0.09599429447554521,0.3137531498985302,-0.29352934703623845,1.0,-0.1314081842109847,-0.032870882657978426,-0.019903454257270102,-0.03220995587656302
DT,0.08735501534143239,0.13714135172010378,0.03674596965109515,0.03401970245446838,0.015340646516719056,0.0905033427732059,-0.00790275041411745,0.009513892378097345,0.0288187395348516,-0.5586986569373105,-0.16786195782184532,0.6020018843953638,0.8032750402295155,0.7831888427937176,-0.4543601609527271,0.45717463548130743,-0.1314081842109847,1.0,0.35871517228436794,0.3462472108635715,0.35774369396139954
vs,0.008342284754219309,0.19072921921557526,0.043226787160955585,0.15248915964389156,-0.031194137467755578,0.32274906913517615,0.0051562820508744105,0.0368722071377299,-0.10026457186145167,-0.1819136012685885,-0.06048077641177429,0.17956262044027652,0.2896300221530911,0.27258303007340234,-0.18496359152677871,0.19007026628179913,-0.032870882657978426,0.35871517228436794,1.0,0.9764458805510596,0.9998967055285206
vl,0.011963856318134979,0.18147364671515304,0.019979460525243204,0.14057139260231288,-0.03474765236951049,0.3685373762229157,0.012224899415946254,0.056455823056579604,-0.1361766860369395,-0.19812318647504248,-0.03815628788555849,0.19756888843686535,0.2817066863082172,0.26901341553230856,-0.14037740119361838,0.14509749471415156,-0.019903454257270102,0.3462472108635715,0.9764458805510596,1.0,0.9791570909477972
vm,0.008780267881770446,0.1906781006770135,0.04190756829607731,0.15215167027752644,-0.032339250241366316,0.32623119789805893,0.005785085366996695,0.03832714274747638,-0.10237192808580556,-0.18316323352118466,-0.05912645722858193,0.18068503472442032,0.288814584609348,0.2721513887660474,-0.1823145302432299,0.18728327277507117,-0.03220995587656302,0.35774369396139954,0.9998967055285206,0.9791570909477972,1.0
